age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
24,Male,9.279461751065064,5.421052080563396,1.9636629542454,No,78.91716851022642,8.132998513401335,Fair,1,Unknown,Average,7,No,60.91685480351658
21,Other,4.669946296465007,6.316676410735143,1.0101268677906172,No,91.37246698557328,5.924719118237372,Fair,2,Bachelor,Poor,4,No,53.61066718865492
22,Other,6.12573583187422,3.482990428586281,3.8160522300250097,No,89.17517308700367,4.784943663381739,Fair,3,Bachelor,Good,0,Yes,43.91256272928162
21,Male,3.664961391232147,0.9235898325670564,3.426833514288785,Yes,68.36456734563302,10.377079112629362,Fair,3,High School,Average,1,No,9.447818972104727
19,Female,3.966132368765408,2.5430222257537403,1.8758651636869408,Yes,65.77988215960526,8.887370285545726,Good,6,High School,Poor,1,No,74.1487632797159
18,Male,6.0822996086933845,2.377902142252728,3.3664947077180445,Yes,67.52141197881397,7.806330801832698,Poor,6,High School,Average,6,No,53.74070807835304
24,Other,3.9147498369451297,0.90811806663848,1.3244283752769193,No,61.64087455595319,4.914948260387572,Good,0,Bachelor,Average,7,No,57.27850292874119
22,Female,5.332153808305414,1.977671083457536,1.2978166232702426,Yes,90.18122486759744,8.086727565004397,Good,6,High School,Average,7,No,59.53280969155806
19,Female,3.3963642711503264,4.121521933339981,3.820415075517792,Yes,82.44368718051543,5.3589131235597645,Fair,3,High School,Poor,1,Yes,93.78964664116997
23,Female,3.5636754028387,3.489354648590308,2.773292907878501,Yes,62.74700639763746,6.857534781974058,Good,1,High School,Good,7,Yes,54.60293278907224
22,Male,2.862838130863746,1.5322643464696568,2.567594177001806,No,92.74627395560933,6.683801959390478,Poor,7,High School,Average,5,Yes,46.21867002100554
20,Female,2.1673732890731965,3.814897764900562,0.5400734710615831,No,67.60230860662838,7.91097591076014,Poor,2,Unknown,Good,3,No,32.82022637029222
19,Male,5.411936286338882,1.1741431059828085,1.150242322585873,Yes,70.39031678200934,10.157708233470249,Fair,6,Master,Average,5,Yes,75.7033352522696
22,Male,1.4988540350221973,2.94329497608574,4.575796251055353,No,69.2066441351669,5.348311064910192,Good,3,Unknown,Poor,7,No,86.41094053159779
21,Female,6.120308774987814,1.3964178001404743,3.778319810147345,No,66.38296861043749,10.602832445650591,Fair,5,Bachelor,Good,-1,No,51.58670308597334
22,Male,4.874334476294021,5.192356530704079,0.4583170136994237,No,89.61630224847809,7.963409778665691,Fair,6,High School,Average,8,Yes,82.79121622357202
25,Female,2.2976882548120643,2.24904948284178,2.2966034902873727,No,102.14481055960208,6.29697922178154,Fair,1,High School,Poor,7,Yes,70.52632079430325
20,Female,2.6508445930589057,1.1962727496674057,4.638489362998969,No,49.94617362513809,10.758498531151607,Fair,7,Bachelor,Average,2,No,84.98027474021166
23,Female,4.098176921355994,5.668453668447084,3.30609334433667,Yes,78.83639735168121,10.536510538263864,Poor,6,Bachelor,Poor,8,No,76.70729888589642
23,Female,5.742303274756402,4.911998158266385,0.9581279331669976,No,55.28240362077447,8.034605900010003,Poor,2,High School,Average,9,No,92.46133185515365
18,Male,7.43464750533111,2.924098815954605,1.936161247509004,Yes,92.19881241646856,7.341263631537405,Good,3,High School,Average,0,No,89.65441120356041
22,Female,3.560617879965937,2.608919323908947,1.6946253748955218,No,67.43480648867344,6.326085906416624,Good,6,High School,Poor,3,No,50.87286270106722
22,Male,7.088961982302428,3.312225299506297,2.186620398904088,Yes,73.95330844475697,6.642185856306645,Fair,4,High School,Average,7,No,30.43294351569007
22,Male,6.746425512253349,3.889365881395337,3.0952714247000515,No,77.9105082695576,7.95361029433762,Poor,3,Bachelor,Average,9,No,95.81013965970786
22,Female,7.713904619022201,2.914324186669612,0.5596212087341182,Yes,81.05019430417545,9.40455714257902,Poor,7,Unknown,Good,0,Yes,30.66452383895317
21,Female,5.605253758147173,4.460895568675066,5.404407718921156,No,76.23754839498326,8.091386369945875,Fair,3,High School,Poor,2,No,20.587265523075786
24,Male,5.205712294403519,2.897862929503627,3.409856456284416,Yes,90.31806455240084,5.98988465843768,Poor,1,High School,Good,3,Yes,76.80862376668799
23,Male,6.344730097681706,2.300323135059918,3.719143319971183,No,86.07847680591593,6.594375863275927,Fair,4,Unknown,Good,0,No,95.7899676448088
17,Male,4.700493519788838,1.4160853071014556,2.6643950410093105,No,85.97653197518058,8.722898645973306,Good,0,Bachelor,Good,8,No,65.80783746692207
16,Female,5.672789906929617,3.4068228629175663,5.487844498939081,Yes,62.3380482577608,6.952139772260683,Poor,5,High School,Good,0,No,81.29373991597299
19,Female,5.9026869852335455,5.729739895614996,3.031284193232119,No,89.00141839510542,6.13828825492374,Fair,6,High School,Poor,0,No,37.059906203962285
18,Female,3.6080265636415016,1.9881029419204408,0.2851196298264273,No,52.80897650573495,9.77354603166272,Good,4,Bachelor,Average,4,No,64.8635181854716
16,Female,5.247243659707142,1.8419717649211484,0.1642826601041066,Yes,72.84966581453287,7.766537395996091,Fair,3,Bachelor,Average,6,No,59.65959419237505
24,Female,4.950814961548204,2.212030940053625,3.694179403907849,No,69.90227684817063,10.270276194078416,Fair,1,Bachelor,Good,1,No,91.9786745170398
24,Other,6.8407550411327,2.194434837495482,0.6433197051420962,No,53.80918122533742,8.560837553318313,Good,3,High School,Good,9,No,65.21455134155315
22,Other,6.893574166852716,0.9859171010720796,1.3390045160843536,No,95.13887441483374,5.736471077296874,Fair,4,High School,Good,0,Yes,55.43414056745354
21,Male,5.994822047176896,5.29589029594018,3.592681886596369,Yes,99.99677810938614,9.062524469229729,Poor,1,Unknown,Poor,3,No,45.30295251309548
24,Male,4.208557795119141,3.796162336325908,1.2527346274088211,No,60.67445794440593,7.05896298787846,Fair,3,Master,Poor,1,No,84.07470247575523
21,Female,6.322858776068935,4.63410211856732,2.864749473999595,No,85.98957786771444,8.091786116375122,Poor,0,Bachelor,Average,2,No,64.75505087781603
19,Other,4.874682965660276,3.50130681995329,5.103265718740607,No,54.29210050698544,3.589126022280116,Fair,3,High School,Poor,8,Yes,52.22479108352758
23,Female,3.708571774831053,0.6627934293026432,1.0350323050454122,Yes,58.62921197590654,10.11410402810064,Fair,4,Bachelor,Average,3,Yes,84.71385936991706
24,Female,4.924847898361423,5.249651583805381,1.84566153904471,No,58.41402973224364,10.911700852204774,Fair,6,Bachelor,Poor,10,No,78.88810196221304
22,Male,8.301748634794588,2.9608446201138063,4.479447155020706,No,63.57634638894948,8.144543667547815,Poor,1,Master,Average,0,No,92.17518424901137
23,Female,2.313536223955501,3.624127473588992,4.542367047143419,Yes,88.54594272245791,5.281918964129849,Good,5,Bachelor,Good,8,Yes,62.27338858702444
23,Other,8.089657414249665,5.022348628664108,1.5807281030503129,No,87.69965456343668,6.308064517211935,Poor,1,High School,Average,0,No,64.16251194008836
22,Male,4.273451221831967,5.633084240075202,2.8551670422456668,No,75.96983713368724,9.231534663635088,Poor,4,High School,Average,1,No,72.31796913145577
17,Female,0.6579842828943585,2.74465631513055,3.280909787448836,No,74.90275544807332,8.860312648880704,Fair,6,High School,Poor,0,No,88.44178504533956
21,Male,4.023696706473348,1.712578454790188,2.444365618697657,No,46.70393881663303,9.007377219992389,Poor,0,Master,Average,7,No,79.97478292804504
24,Male,4.29446459882828,3.380564901521299,2.800570003916932,No,73.97211896499016,5.835479003577581,Fair,4,Bachelor,Good,-1,Yes,25.033352553585036
25,Female,6.509902205720247,5.158882168459349,0.0613431634690371,No,90.72200222485397,10.073902141573289,Poor,3,High School,Poor,9,No,67.06227779979413
17,Male,4.949444790882836,0.5717342003635517,4.131221852119863,No,64.65648712908748,6.876945041877914,Fair,2,Master,Average,1,No,36.36854483870434
22,Female,0.4034357669390815,1.5079738949318175,0.8439711926856255,Yes,61.812543448781895,7.545707116319077,Fair,5,Master,Good,9,No,65.43582568423184
23,Male,4.7464983461567325,2.0476917285467438,1.559663406421692,No,91.18523173460618,8.074843897453892,Fair,5,Unknown,Poor,5,Yes,108.62940758803911
21,Male,5.52611361668431,4.148703145649226,0.9297262548462408,No,72.18091339479551,5.95757585537429,Good,4,Unknown,Average,-1,No,46.536309232153975
22,Male,6.303963486446055,2.691998133656883,3.1905836709071744,No,60.83638975961448,8.227935231092143,Fair,6,Master,Good,7,No,69.58392859579126
22,Male,1.972931064246202,1.840437127430608,5.262324842447721,No,64.50081271036127,8.783487709168654,Good,1,Unknown,Good,4,No,88.46840958865972
18,Female,7.71764321287522,2.1295701983017863,4.745078496106094,No,47.52590759295438,10.088667452801284,Fair,1,High School,Average,5,Yes,99.03219491237324
19,Other,4.65965441540971,1.7840839085221123,2.8001297227137765,Yes,63.243680940107154,7.12526061423827,Poor,5,Bachelor,Average,1,Yes,48.197196047139016
22,Female,4.2307365547915525,7.52826485479199,1.5925345679175886,No,89.02908770629982,2.8019418869595007,Fair,-1,Bachelor,Good,3,No,30.623977944815103
21,Female,8.265961062416533,2.8013737297550287,3.630277435487028,No,48.23957282660552,9.584078033946152,Good,6,Bachelor,Poor,1,Yes,70.9966162851497
22,Male,3.1354604631805274,3.4583069860814404,1.84890887399553,No,95.47475618621355,10.738024508966404,Fair,0,Bachelor,Average,8,No,44.12977333762599
24,Female,6.040437288140167,4.346604887458576,-0.0053716750379428,Yes,49.950463675781975,5.212919067311167,Fair,3,High School,Average,5,No,57.88523883730802
17,Female,1.7443933981524822,1.3314114502305956,3.6194863172194287,Yes,103.97186329242808,5.99579056832392,Poor,3,Bachelor,Average,6,No,24.24121244518482
23,Male,3.914114812215117,2.1789042670680026,2.443239579591747,No,69.93988665719492,5.179855857779561,Fair,3,Master,Average,6,No,90.02166347368775
21,Female,1.5095696703699415,3.314899800276042,1.7326786098962417,Yes,83.23047234995377,4.618551061594924,Fair,3,Bachelor,Average,-1,No,46.64495547882929
17,Female,7.624368997232189,8.044422749103063,5.920448189074938,No,76.61133772858379,4.740316146630473,Fair,3,Bachelor,Good,3,No,71.32206699362408
19,Male,1.6728145594532724,4.787134131115536,4.873377391407189,No,81.19636935975701,6.511617991000754,Good,0,Master,Good,3,No,94.05565294355978
19,Female,3.3231005777013163,3.341581925918001,3.777482964673325,No,76.193397894861,9.577798522888262,Fair,1,High School,Poor,6,No,85.87318518807595
17,Female,5.095280956925585,2.959397870760127,3.1948087890934067,Yes,73.6837929594923,6.964838978917308,Fair,1,High School,Poor,8,No,69.75161739930097
19,Female,6.024150705273263,4.0119191452940255,2.177843466561652,No,85.50412297869232,6.052646551751035,Fair,6,Unknown,Poor,0,Yes,33.960680317887615
21,Male,2.7211885057502068,3.0485504506047207,3.730348181840444,No,46.7800599408348,4.7830904978145,Good,2,High School,Average,2,Yes,81.70914033988353
25,Female,6.016704607019342,1.6482933479894202,1.2754547779437997,No,91.55500474044192,10.20537406492942,Poor,6,High School,Average,1,Yes,85.09109126723767
19,Female,6.668340726603265,3.029184556168285,1.1383452176759712,No,89.88934880734969,6.983853876806602,Fair,4,High School,Average,9,Yes,53.31435234444915
22,Female,6.139424948903777,4.626291840889522,1.09187585903689,Yes,59.51055335270631,9.767093252410753,Poor,3,High School,Average,-1,No,70.96707133294663
16,Female,6.090228822838261,2.4896838208507783,3.73233296110938,Yes,97.45488327461337,8.997778888323369,Poor,2,High School,Poor,6,No,89.72332123256223
23,Male,1.6360896024398106,2.727505926541106,1.4616323836701053,No,69.72036958602499,10.574144060988267,Poor,6,High School,Good,9,No,78.31092219624915
19,Male,4.086870307824151,3.013848106828995,1.46322746472364,Yes,85.99652320535833,8.78586154598706,Fair,6,Master,Good,10,No,73.8882810686516
20,Female,6.803102946877936,5.045194021794168,1.4852635995913093,Yes,85.92010735337098,8.27077841895354,Fair,0,High School,Poor,4,Yes,98.08417993893784
23,Male,6.011808443938037,3.3357418236969805,1.091366389965429,No,90.97604755164514,6.48259113749763,Fair,0,High School,Average,6,No,94.185346360619
18,Other,2.9788807710150618,4.596862195382423,2.4209969090119894,No,88.9351153121284,8.020337731294221,Good,6,High School,Good,6,No,96.83963869141434
23,Female,5.576726904751876,1.961148381054896,1.630226385174814,No,71.84228414750571,6.727106033239485,Poor,0,Master,Poor,7,No,47.347431851503295
21,Male,3.398876405302759,3.9171276139141806,3.4583902402326823,No,74.76046491142257,5.892619670344783,Fair,6,High School,Poor,7,No,61.55900348768503
19,Female,6.249595491579624,2.167218268057992,4.2317154654834415,Yes,69.12958073682013,7.159409650530542,Fair,4,High School,Average,4,No,78.38957864721856
21,Male,5.044810143190373,4.578806505780534,1.09019283560382,Yes,87.47551255010862,7.972902083333976,Fair,1,High School,Good,1,No,83.26720043113525
22,Male,1.8006342647153104,4.064315980988751,1.6406849469179283,No,61.18928689725011,7.707369567030154,Good,7,High School,Good,1,No,76.77672927539379
23,Female,5.358267818340067,3.2878663677259,2.453787441975796,No,72.34905410189232,5.934904358677381,Fair,6,High School,Average,7,No,36.02257371996572
21,Female,5.117340107298964,1.8492854509922445,2.8986318423654325,No,87.19363595165578,9.387733393030794,Fair,3,Bachelor,Poor,11,Yes,54.372020971481206
23,Female,7.076295382268945,3.8294055605038126,3.0940094922307915,Yes,73.40361988236988,8.531146638280623,Good,3,High School,Average,3,No,82.57769930338272
19,Male,3.746330732347497,5.000323392865163,1.4418432978087,No,59.552225215358426,8.714862007739805,Fair,3,Master,Average,0,No,96.41106112830349
25,Female,6.598984937448245,2.2774273440308064,4.169531764182183,No,59.092006326075634,6.569577864977921,Fair,1,High School,Average,10,No,89.93659983895826
21,Female,6.324521058018592,2.174481411773657,2.866447463099113,Yes,93.56932924259252,8.720943802808117,Poor,1,Unknown,Good,6,No,94.96675474061996
18,Other,4.1117206361572185,2.5161902569229837,2.7317917273470167,Yes,86.23865916686553,6.320622675144143,Fair,0,Bachelor,Poor,9,Yes,49.338981367193945
21,Other,2.013072598601223,2.7255242669149107,0.731023031229149,Yes,91.28048024533432,7.706793754273942,Fair,3,Unknown,Average,7,Yes,50.87912009852821
24,Male,7.180486332898429,2.3427773227066053,1.998436285672822,No,52.56689658482399,8.726205378647988,Fair,3,Bachelor,Average,1,Yes,31.05060215233689
22,Male,3.7010526220878543,4.227672722255623,3.753979469952817,Yes,87.72550739960339,8.995621328672481,Good,6,High School,Good,11,No,53.52254474169554
23,Male,4.965004884401574,3.97553672904973,1.1996810927778596,No,91.1398801466196,7.239253481166375,Poor,2,Bachelor,Poor,4,No,90.85192966680144
22,Female,5.233665732878615,3.176690298499983,4.150368145711692,No,53.59364753248786,7.769102386149702,Good,5,High School,Poor,0,No,51.38310524962749
22,Male,6.661528522393036,3.47950298625054,4.615200038487716,Yes,88.30773607718473,5.65355106582243,Poor,6,High School,Average,-1,No,66.35018325748719
22,Female,7.578819868518543,3.2995917833451616,1.497813975544641,Yes,94.90489039083786,7.37637496590345,Good,-1,Bachelor,Good,1,No,69.04440393725899
23,Other,6.065303736416011,2.601843952215619,2.713404957203871,No,71.01451193417266,5.55058479287741,Fair,5,Bachelor,Good,-1,No,13.402044419498536
20,Male,4.266193552817577,8.118276003184757,0.6883454805152361,No,70.62956497366478,5.073917520416638,Fair,0,High School,Poor,6,No,63.65874159838084
22,Female,4.15811955141229,2.746390155601259,1.6297015450052008,No,97.5993380008398,6.624431590253146,Good,0,Bachelor,Good,3,No,74.94339650142628
16,Female,7.660781605588662,3.159661779751706,4.891568839385439,Yes,72.4926228897195,8.348364917345322,Fair,3,Bachelor,Good,8,No,79.96872329426758
24,Female,6.382250074351592,5.419252684716735,4.397945282223255,Yes,88.54669578226388,6.934687476488217,Good,3,High School,Good,9,No,37.167767564401714
23,Female,4.059932320248275,2.043463453746333,0.6650998126573682,No,71.41270379793878,8.58954981487054,Fair,6,Master,Average,4,No,63.36451636595155
22,Female,3.208462446176136,6.779315283658365,0.5249154777171229,Yes,53.595781999850885,4.803539138872189,Good,2,High School,Average,6,No,62.93873823575576
24,Female,4.057059731060767,1.516136914693262,3.4171762980079308,No,88.807822651991,6.495299140667525,Fair,3,Bachelor,Poor,7,No,61.52358679071274
21,Female,4.92070206151529,2.798346660330752,2.491941263687454,No,58.67883917906399,9.987814032524216,Fair,3,Bachelor,Good,8,No,54.42686620747956
23,Female,6.835551905895853,0.8171371360474002,3.455744491159095,No,85.39347128684224,10.201083834819434,Good,5,High School,Average,6,No,28.178334711650464
21,Female,4.675719813787836,0.4942246366041984,4.818769216014738,Yes,68.81726968935443,7.8555363297747,Fair,5,High School,Good,0,No,93.24148808809517
22,Female,7.686520076809597,0.6774389262685122,0.9523998972171932,Yes,68.99003001118719,7.792465526561877,Fair,6,High School,Good,-1,No,33.54879412742636
18,Female,0.4082407728150121,3.293158750709967,2.372599980243251,No,86.31324590770826,8.498390031220074,Fair,0,High School,Poor,1,No,68.28951157135945
16,Male,4.31824282800863,4.398525443874616,1.2865211070554683,No,76.99168551729116,8.707936561456306,Good,1,Bachelor,Poor,0,No,78.96648246426092
22,Female,7.082401822967412,1.717739412879401,4.413733444045816,No,50.14090813890201,11.274999497381447,Fair,3,Bachelor,Good,8,No,52.7639933375518
21,Male,6.959549103998662,6.243006972080589,3.781409517639672,No,68.69649939676654,6.713457346664892,Good,5,Unknown,Average,5,No,69.90557133440949
22,Male,5.04539607742591,1.9751285448887137,3.1810366794386766,No,65.5433470886056,7.214308535562243,Good,6,High School,Average,10,No,41.23318353839069
21,Female,5.163269546152628,2.1333422148299714,2.964208114490838,No,73.86020634609525,8.90963709873844,Fair,6,Bachelor,Good,6,No,86.86789221028393
22,Male,0.908776059783524,7.0724646549416565,1.1923910252075258,No,68.12805561820237,5.086020466417887,Fair,2,High School,Average,8,No,97.42314787301866
22,Male,6.998194217650566,2.581430703121681,2.3498147831285263,No,82.21430764164116,3.894508298601816,Poor,3,High School,Average,0,No,80.88599081446543
17,Female,5.291531102153176,4.51410182053089,1.828513149604556,No,88.36255387078556,5.002179715352902,Fair,3,Unknown,Poor,7,No,30.99990553813783
19,Male,6.032163761125596,3.633190387613792,0.6647095608576172,No,75.59427945226336,9.198841739059148,Poor,2,High School,Good,9,No,77.07604669665163
19,Female,5.553516948609019,0.9827421623137396,2.521985906027124,Yes,84.79365680216927,9.743501413476416,Fair,2,Bachelor,Good,6,No,48.21004623014066
21,Female,3.677915026396976,4.2310866040162205,0.8016442637914132,Yes,89.24845357684646,8.881294608987353,Poor,1,Bachelor,Average,7,No,94.5224431524178
21,Female,5.772057581994676,2.9778935360884207,1.795636257711832,No,63.3698758240086,5.695856258730219,Fair,3,Bachelor,Good,7,No,91.00947218610118
23,Female,6.177734526313949,2.456202629014957,4.219089032752579,No,62.37571913378325,10.073582190604744,Fair,5,Bachelor,Average,5,No,49.14958854279353
17,Female,8.558862013310515,4.063621483955296,1.2938123653409463,No,47.87953059026623,8.829747804063453,Fair,5,Unknown,Average,5,Yes,83.07369455984094
22,Female,3.676640926675266,2.8866001832634733,2.305480287776695,No,93.7215756185888,5.347676330928971,Fair,6,High School,Good,0,No,50.44672771405549
24,Male,6.874237980688825,2.2545821335570664,5.900700283909236,Yes,93.82632826282828,10.474000827735306,Good,1,High School,Good,6,No,45.980296656706166
17,Female,6.433338238321403,3.291473036380319,0.7632554449431734,Yes,89.77889968983395,7.278940885412523,Fair,3,Bachelor,Good,2,No,60.22450824047712
19,Female,6.630810449884248,-0.3383478147101981,0.183093017740722,No,59.66524914023812,10.443425158328806,Fair,7,Master,Average,0,No,79.66113612457686
22,Male,4.6525068388437,3.759124960979647,3.5413979671228057,No,87.76673851381729,4.912362722620718,Fair,5,Unknown,Poor,-1,No,82.06261437861941
22,Male,6.24234559279828,0.1008079330576985,3.0087017817837176,No,51.10028917099133,6.695277656398089,Fair,5,High School,Good,-1,Yes,38.0869933658512
19,Male,3.558648445076848,2.395539373165616,3.166723831895283,No,72.19204918271478,8.693461917215615,Fair,4,Bachelor,Good,9,No,109.63756222404233
22,Female,4.423579714569251,1.571521015301943,4.41834890828182,Yes,66.92767784435276,6.531989957819698,Fair,3,Unknown,Poor,8,No,20.01129788350497
19,Female,5.850914233235804,2.204838090236159,3.0986756467399488,No,50.15788709651599,8.677816205600001,Fair,4,Unknown,Average,3,No,42.5373960628647
16,Male,5.661425410201055,6.342587463909314,1.3538326736983517,Yes,68.04680862871737,9.032174445717091,Fair,2,Bachelor,Good,2,No,52.91846496520926
21,Male,3.968246741067346,1.500535828547846,3.303320696620707,Yes,51.78876093464671,8.98294819197921,Good,1,High School,Poor,8,Yes,57.80138796894581
24,Female,0.9427085289142708,4.547942731932551,3.506867079424809,Yes,71.85977078118363,10.112973550455132,Poor,7,High School,Good,7,No,46.396164336404425
18,Female,2.947397589976439,3.1544546857537576,1.9158703243811588,No,88.39153239373846,10.314213716963437,Poor,4,High School,Good,0,No,64.52209818536339
21,Male,2.7649381276111025,2.866962036692071,3.813198682089144,No,80.57504078739302,8.56705629819827,Good,1,Bachelor,Good,7,Yes,62.64177018397263
21,Female,5.961641921705621,3.7334269659237767,5.263836961513592,No,55.23742143676721,5.6682735046437065,Good,2,High School,Good,0,No,66.77254305462671
18,Female,5.53270497942632,3.561111272717597,2.4437549372372933,No,76.86478500856404,8.178723092877888,Fair,5,High School,Good,12,Yes,53.56712404953669
24,Female,4.993773644293288,3.6592433334048335,5.496499258245087,Yes,87.61854431050226,8.856618455364387,Good,0,Unknown,Good,10,No,46.26574995575076
22,Female,6.444538567572325,0.75528239989975,5.51930691406645,Yes,97.57468468665276,6.186952017429192,Poor,4,High School,Poor,0,No,64.01291688430238
22,Other,7.266057770973649,1.7374841015881677,-0.3708898904625336,No,50.23668642296551,6.355940585419306,Fair,5,Bachelor,Average,9,No,74.36486826898387
18,Male,6.241527853513407,2.047422360632525,2.4108971035116373,No,69.06942270505002,10.843952460281631,Fair,0,Unknown,Good,1,No,57.57076514751196
23,Male,1.9763155210039416,3.96696175054981,2.2100686519252446,No,57.61043532377441,8.785174901153887,Good,3,Master,Average,0,No,42.6751736362704
22,Female,6.615804955969917,3.843704610762479,1.2227303021361475,Yes,81.14403756962025,8.24300634009393,Good,5,Bachelor,Good,4,No,58.80836864632717
23,Male,6.828653401063725,2.1542047199283267,3.426953124461788,Yes,53.44403597551688,7.238162802422925,Poor,6,Bachelor,Average,6,No,57.54875850462189
19,Female,7.012490584115673,3.91351763104659,2.8470799956565163,No,60.20150097683519,6.394799406264403,Poor,7,High School,Good,8,No,32.54017214912437
18,Female,3.918057467381301,3.92611939618308,3.583767822825761,Yes,67.23503651543916,9.89731381855096,Fair,4,High School,Poor,2,No,76.62550716438211
23,Female,6.392377926331686,3.267701339378222,2.643549037958639,Yes,52.42687165455847,6.747984712475743,Fair,2,Bachelor,Average,0,No,44.51551035291958
18,Female,2.063831227096535,0.526854846406276,1.486915492573923,No,91.68314515652855,7.018619786643638,Fair,5,Master,Good,1,Yes,27.066457321488027
17,Male,7.326592406365515,2.008896534730337,2.47869692214509,Yes,88.20114805237148,7.092475122488885,Good,6,Bachelor,Good,7,No,84.51641682992206
23,Male,5.4137646192563,3.5297286026114865,3.026079882644217,No,77.34191265837721,6.868461171117678,Fair,2,Bachelor,Average,-1,No,75.62989731091709
23,Female,5.873436409967408,3.0116309590831314,1.0387108626342436,Yes,60.26129861670636,3.991067287868,Good,6,Bachelor,Average,-1,No,50.59117574832504
24,Male,9.307174566565347,4.873275067430407,3.955868153531721,No,54.60651699850741,8.755642306699519,Good,1,Unknown,Good,-1,No,78.62378765133654
20,Female,1.2352150114755838,2.682760117459198,1.5276223885280054,No,74.49928453481293,6.952055524629707,Fair,2,Bachelor,Good,6,No,52.58010671379407
22,Male,2.582295629481884,2.5317989613857046,3.932785012983376,No,67.28053857835283,11.173088014397017,Good,6,Unknown,Average,4,No,59.144019170111385
22,Male,4.724798512617904,4.585741328865534,2.110980198401329,No,58.77140784361376,6.700786035675954,Poor,6,Bachelor,Good,7,Yes,44.305527604917344
23,Male,3.873250253140133,4.900706997612687,4.028369702848094,No,66.66647038009995,10.119833564268816,Fair,2,High School,Average,6,No,93.11176485722304
19,Male,9.16486111549318,2.428596594365382,1.0595299488102148,No,100.83846711722708,10.336507341957164,Fair,4,High School,Good,2,No,30.26257037982542
22,Male,6.30044903683614,2.670377255204909,3.771580463146485,No,76.74018015686434,9.618221677282172,Fair,3,Unknown,Average,-1,Yes,90.34308920475031
23,Female,6.122222108016828,3.2735342937782708,3.302918708773211,Yes,50.68022275815706,8.72248943276107,Fair,0,High School,Average,10,Yes,68.18212365758937
19,Male,3.065420588706548,3.753368665191141,4.230563830055356,Yes,72.52085374058291,6.080290367413276,Good,6,High School,Average,7,Yes,25.645060801566892
22,Male,2.552792411477708,4.803575485799442,0.5239795810600738,No,64.8683493378787,4.230471173491315,Good,7,Unknown,Average,0,No,82.55470130162061
19,Female,6.140682295328055,4.887537273799968,3.348452672148364,Yes,86.94481507121314,8.78863504341143,Good,6,Bachelor,Poor,8,Yes,67.36616866234132
22,Female,7.650886250430736,3.15768930844305,5.447549972019382,Yes,72.49202646235823,7.792691068287365,Poor,1,Bachelor,Average,3,No,53.75366230455408
21,Other,5.635155623235869,2.3510699756904634,1.1643542706297725,Yes,54.29528197194201,9.371997278802828,Fair,0,High School,Good,7,Yes,75.30554690555853
21,Female,3.948391081352829,4.744176010308211,0.8239673156051764,Yes,64.5308421165072,9.751785824390437,Fair,2,Unknown,Poor,5,Yes,81.51019445340127
21,Female,7.440482883792762,1.6584097928399273,2.848788275926957,Yes,54.255225075774064,9.178064901677182,Fair,6,High School,Poor,-1,No,71.82809012709829
22,Female,5.90834686140294,1.1228360300628073,4.11171665088983,Yes,89.71889880925345,8.292483895591541,Fair,6,High School,Good,2,No,83.12102707048875
21,Other,7.001407229078058,3.3983442137445,0.5771256819798543,No,53.42000958031933,7.409495648487511,Good,1,Bachelor,Average,3,Yes,67.93187009235237
22,Male,7.046191186334637,4.779508557139864,4.658662998185163,No,65.59063834400382,5.049108743680549,Fair,5,High School,Average,5,Yes,70.44812002486846
22,Female,3.012895285638048,2.8981103061937854,2.8297625372078423,No,71.01670585911731,4.64385249459006,Fair,4,Master,Good,10,Yes,60.878411337732736
22,Female,2.6574868763217,3.702282135735648,1.1614682984917644,Yes,80.27757737719998,5.719032114961262,Fair,0,High School,Good,2,No,77.28737616644949
22,Female,6.709244458620679,2.945678968613704,1.0548211112498471,No,86.34989782449252,8.70902799054159,Good,6,High School,Poor,0,No,82.56995947117844
24,Other,7.786156509781588,3.630767728484847,3.393147889084024,No,73.58512421772964,7.534723174088485,Fair,6,Unknown,Good,2,No,72.30912989230853
23,Male,1.710354750223687,2.592045383978624,1.356372836143186,Yes,66.4153760599769,5.411493709563511,Fair,3,High School,Poor,-1,Yes,39.73672626311523
19,Male,5.566313450934551,4.644890216724179,1.3829344545365876,No,78.70842220334916,5.8537804458001546,Good,2,Bachelor,Average,9,No,74.54562119432076
21,Female,0.0042633474744793,2.367803122330296,1.0313001478831625,Yes,93.75783758905418,5.21381024864797,Poor,3,Bachelor,Poor,4,No,84.02045619759272
20,Male,5.987462888307981,4.646242731051229,5.007196776737576,No,90.03181389399711,4.473774926943212,Fair,7,Bachelor,Good,6,No,66.77236338716031
25,Female,7.383199902525455,2.1197163164249324,2.359356284898614,Yes,47.05664855049771,7.775064275244789,Fair,5,High School,Average,7,No,60.865200406926384
23,Female,0.9875984404894104,0.8680659175664429,0.4643062652276146,Yes,83.90366054941221,7.277418726214875,Poor,4,Bachelor,Average,10,Yes,61.14545742968452
24,Female,5.207131953500884,4.675855493322401,3.727331885192136,No,68.62305735464241,9.961483629704016,Good,5,High School,Poor,4,No,67.62952065938906
24,Male,4.080187254146291,6.686193091843872,1.4724505801550511,Yes,57.537321458206925,8.788089365764154,Fair,4,High School,Good,7,No,54.6440794077196
